blind_id,scenario,accuracy,runtime,energy,co2,ambiguous,notes,reviewer_id
LEGACY-PARA-048,"The field team needs the drone to be dependable, prompt and able to operate without draining its battery early.",,,,,,,
LEGACY-PARA-024,A lower-impact computing strategy is the main concern for this deployment.,,,,,,,
LEGACY-PARA-029,"For live payment protection, the service must combine dependable decisions with rapid responses.",,,,,,,
LEGACY-PARA-047,A battery-limited rescue platform needs sound decisions and quick responses throughout the mission.,,,,,,,
LEGACY-PARA-005,The hospital wants predictions from the support service to remain dependable in routine use.,,,,,,,
LEGACY-PARA-046,The drone must combine reliable predictions with time-critical reactions and modest power draw.,,,,,,,
LEGACY-PARA-023,The cloud team has been asked to reduce the environmental burden of operating the service.,,,,,,,
LEGACY-PARA-056,"The disaster-response device needs trustworthy predictions, rapid reactions, long battery life and a low-impact operating profile.",,,,,,,
LEGACY-PARA-016,The device sits far from mains electricity and must remain practical on its battery supply.,,,,,,,
LEGACY-PARA-011,Long processing delays would make the collision alert ineffective in live traffic.,,,,,,,
LEGACY-PARA-012,The system should produce each driving warning rapidly during operation.,,,,,,,
LEGACY-PARA-030,The detector should keep decision quality high and avoid delays that would make the alert too late.,,,,,,,
LEGACY-PARA-022,The deployment is being reviewed mainly for its broader environmental footprint.,,,,,,,
LEGACY-PARA-032,The wearable needs trustworthy predictions and should keep operating for a long time between charges.,,,,,,,
LEGACY-PARA-045,"For rescue work, the airborne system should avoid wrong decisions, respond quickly and preserve flight time.",,,,,,,
LEGACY-PARA-059,"A remote response unit needs reliable classifications, time-critical reactions, practical battery endurance and greener operation.",,,,,,,
LEGACY-PARA-009,This road-safety service is useful only if each warning is returned promptly.,,,,,,,
LEGACY-PARA-002,Clinicians need the diagnostic support service to be consistently right when it flags a case.,,,,,,,
LEGACY-PARA-026,The payment screen needs trustworthy decisions and must return them before the transaction completes.,,,,,,,
LEGACY-PARA-054,"The monitor must combine decision quality, modest device power draw and a low-impact computing strategy.",,,,,,,
LEGACY-PARA-015,This field sensor should keep power draw modest during a long unattended deployment.,,,,,,,
LEGACY-PARA-060,"The emergency deployment must combine dependable outputs, quick responses, restrained device power draw and a small environmental footprint.",,,,,,,
LEGACY-PARA-001,A diagnostic support service should make highly dependable decisions before a clinician acts.,,,,,,,
LEGACY-PARA-052,The field deployment needs reliable predictions from a battery-backed device with a greener operating profile.,,,,,,,
LEGACY-PARA-021,This service should adopt a greener operating profile where practical.,,,,,,,
LEGACY-PARA-003,The diagnostic assistant should favour trustworthy decisions because its output can influence clinical action.,,,,,,,
LEGACY-PARA-044,"The emergency drone needs trustworthy detections, rapid responses and careful use of its battery supply.",,,,,,,
LEGACY-PARA-018,The deployment has a tight device power budget and should avoid draining the sensor early.,,,,,,,
LEGACY-PARA-057,Field teams require sound decisions with little delay from a battery-backed unit designed for climate-conscious operation.,,,,,,,
LEGACY-PARA-055,"An emergency field unit must make dependable decisions, respond immediately, preserve its battery and keep its environmental footprint low.",,,,,,,
LEGACY-PARA-008,The driving alert must arrive with almost no delay so the user can act in time.,,,,,,,
LEGACY-PARA-051,"This remote monitor should avoid wrong decisions, preserve its battery and support climate-conscious operation.",,,,,,,
LEGACY-PARA-031,A remote medical wearable should make dependable classifications while preserving its small battery.,,,,,,,
LEGACY-PARA-042,The road platform should return decisions promptly without an unnecessarily heavy environmental footprint.,,,,,,,
LEGACY-PARA-034,The medical sensor should keep decision quality high while remaining practical on a limited battery.,,,,,,,
LEGACY-PARA-050,"The conservation sensor needs trustworthy classifications, long battery life and a smaller environmental footprint.",,,,,,,
LEGACY-PARA-041,The service must be quick enough for live traffic control while following a climate-conscious operations policy.,,,,,,,
LEGACY-PARA-038,The city needs rapid traffic decisions from a service designed for a smaller environmental footprint.,,,,,,,
LEGACY-PARA-010,The vehicle assistant needs very short response times for incoming hazard signals.,,,,,,,
LEGACY-PARA-040,"Immediate road-event responses are needed, but the deployment should remain environmentally considerate.",,,,,,,
LEGACY-PARA-049,"A remote conservation monitor should make dependable decisions, last on battery and fit a low-impact deployment.",,,,,,,
LEGACY-PARA-006,"The system may run at ordinary speed, but its decisions should be reliable enough for clinical review.",,,,,,,
LEGACY-PARA-017,A long-lived battery-backed monitor is needed for this remote forest installation.,,,,,,,
LEGACY-PARA-033,A battery-backed health monitor must avoid wrong classifications without draining the device quickly.,,,,,,,
LEGACY-PARA-058,"The portable emergency system should avoid wrong decisions, answer promptly, conserve its limited power supply and minimise broader environmental burden.",,,,,,,
LEGACY-PARA-035,The team needs reliable wearable predictions together with modest device power draw.,,,,,,,
LEGACY-PARA-027,A suspicious-payment detector should rarely be wrong while reacting promptly to each request.,,,,,,,
LEGACY-PARA-039,The traffic monitor should avoid delays and also support a greener operating profile.,,,,,,,
LEGACY-PARA-014,The remote forest monitor has to preserve its battery because technicians cannot visit often.,,,,,,,
LEGACY-PARA-007,A collision-warning service must react quickly enough for the driver to respond.,,,,,,,
LEGACY-PARA-019,A public cloud service is being redesigned under a low-impact computing policy.,,,,,,,
