dataset_id,filename,cohort,target,sensitive_attribute,positive_label_json,dataset_family,source_type,drift_type,notes,task_policy
abalone_Real,abalone_Real.csv,historical_23,__LAST__,,1,unknown,real,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
ailerons_Synthetic,ailerons_Synthetic.csv,historical_23,__LAST__,,1,unknown,synthetic,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
bike_Real,bike_Real.csv,historical_23,__LAST__,,1,unknown,real,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
cpu_activity_Real,cpu_activity_Real.csv,historical_23,__LAST__,,1,unknown,real,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
diamonds_Real,diamonds_Real.csv,historical_23,__LAST__,,1,unknown,real,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
elevators_Synthetic,elevators_Synthetic.csv,historical_23,__LAST__,,1,unknown,synthetic,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
fried_Synthetic,fried_Synthetic.csv,historical_23,__LAST__,,1,unknown,synthetic,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
FriedmanGra_Synthetic,FriedmanGra_ Synthetic.csv,historical_23,__LAST__,,1,unknown,synthetic,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
FriedmanLea_Synthetic,FriedmanLea_ Synthetic.csv,historical_23,__LAST__,,1,unknown,synthetic,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
health_insurance_Real,health_insurance_Real.csv,historical_23,__LAST__,,1,unknown,real,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
House8L_Real,House8L_Real.csv,historical_23,__LAST__,,1,unknown,real,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
hyperA_Synthetic,hyperA_ Synthetic.csv,historical_23,__LAST__,,1,unknown,synthetic,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
kin8nm_Real,kin8nm_Real.csv,historical_23,__LAST__,,1,unknown,real,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
MetroTraffic_Real,MetroTraffic_Real.csv,historical_23,__LAST__,,1,unknown,real,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
nomao_Real,nomao_Real.csv,historical_23,__LAST__,,1,unknown,real,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze.,native_classification
